1	4.61288e-07	-8.65686e-07	9.44505e-07
-4.32862e-06	0.999999	-2.89961e-06	5.47477e-05
-2.42315e-09	1.43969e-06	0.999995	2.31178e-05
1	3.502e-07	-8.26409e-07	9.33612e-07
-4.66855e-06	0.999999	-2.87202e-06	5.50301e-05
1.09797e-07	1.19237e-06	0.999995	2.31671e-05
1	2.95571e-07	-7.90425e-07	9.20544e-07
-4.78213e-06	0.999998	-2.79116e-06	5.54792e-05
1.42641e-07	6.53431e-07	0.999995	2.32567e-05
1	3.17152e-07	-7.89489e-07	8.85868e-07
-4.52116e-06	0.999999	-2.76375e-06	5.45525e-05
1.2602e-07	1.13803e-06	0.999995	2.3221e-05
1	3.67113e-07	-5.81398e-07	7.74126e-07
-4.28545e-06	0.999999	-2.85341e-06	5.44687e-05
1.97929e-07	1.14781e-06	0.999995	2.35718e-05
1	6.1801e-07	-3.61776e-07	7.31798e-07
-4.19921e-06	0.999998	-3.22626e-06	5.4384e-05
3.10048e-07	1.12998e-06	0.999996	2.37884e-05
1	5.05887e-07	-5.18595e-07	6.48358e-07
-3.82917e-06	0.999998	-3.12251e-06	5.38993e-05
1.9476e-07	8.5488e-07	0.999996	2.39284e-05
0.999999	1.41412e-07	-6.16262e-07	5.002e-07
-3.4181e-06	0.999998	-2.98948e-06	5.32291e-05
1.37552e-07	7.28598e-07	0.999995	2.42966e-05
1	2.56655e-07	-8.1619e-07	1.04657e-06
-4.78036e-06	0.999998	-3.00351e-06	5.71407e-05
2.37166e-07	6.5061e-07	0.999996	2.3395e-05
0.999999	2.32735e-07	-8.18921e-07	1.04812e-06
-4.63717e-06	0.999998	-2.73182e-06	5.73962e-05
2.7908e-07	4.22633e-07	0.999996	2.34525e-05
1	1.47032e-07	-8.26848e-07	1.05322e-06
-4.55692e-06	0.999999	-2.81418e-06	5.74002e-05
3.30211e-07	4.57986e-07	0.999996	2.34579e-05
1	1.96968e-07	-7.86623e-07	1.07617e-06
-4.80395e-06	0.999998	-2.63181e-06	5.73228e-05
3.67343e-07	4.42839e-07	0.999996	2.333e-05
1	1.74329e-07	-8.11354e-07	1.04988e-06
-4.44682e-06	0.999999	-2.71374e-06	5.74635e-05
3.26285e-07	2.21557e-07	0.999997	2.35088e-05
1	1.03034e-07	-8.23207e-07	1.02122e-06
-4.35087e-06	0.999999	-2.71986e-06	5.74823e-05
3.3109e-07	9.76967e-08	0.999996	2.35549e-05
1	1.19645e-07	-8.04052e-07	1.0612e-06
-4.53591e-06	0.999998	-2.46664e-06	5.73103e-05
3.22384e-07	2.67597e-07	0.999995	2.33769e-05
1	1.25174e-07	-7.41639e-07	9.87239e-07
-4.10522e-06	0.999999	-2.7944e-06	5.75502e-05
3.69296e-07	7.37611e-08	0.999996	2.36702e-05
1	2.45879e-07	-7.85214e-07	9.43742e-07
-4.65598e-06	0.999999	-2.64185e-06	5.66461e-05
3.0976e-07	3.04336e-07	0.999996	2.34253e-05
1	2.49266e-07	-7.38206e-07	9.06922e-07
-4.65053e-06	0.999998	-2.64628e-06	5.60477e-05
2.41365e-07	4.76262e-07	0.999995	2.34197e-05
1	2.01567e-07	-7.73381e-07	1.01565e-06
-5.20416e-06	0.999999	-2.67643e-06	5.64578e-05
2.55066e-07	7.01475e-07	0.999996	2.31892e-05
1	2.43173e-07	-7.88339e-07	1.04149e-06
-5.228e-06	0.999999	-2.69933e-06	5.64804e-05
2.46702e-07	7.61629e-07	0.999996	2.31461e-05
